the_geom,OBJECTID,CIV,PK_ID_ELEM,DESC_ELEME,LONGITUD_H,ANCHO_ELEM,AREA_ELEME,TIPO_SUPER,FECHA_REGI,LOCALIDAD,UPZ,BARRIO,TIPO_MALLA,EJE_VIAL,DESDE,HASTA,SECCION_VI,DESC_ORIGE,DESC_PROGR,DESC_ESTRA,FECHA_VISI,ACTIVIDAD,ACTIVIDAD_,INTERVENCI,ESTADO_INT,FECHA_TERM,VIGENCIA,SELLO_FISU,OBSERVACIO,SHAPE_AREA,SHAPE_LEN
"MULTIPOLYGON (((-74.04698307999996 4.724891721000063, -74.04697872103065 4.724889586456093, -74.04697417999995 4.724887873000057, -74.04647476699995 4.724804390000031, -74.04647214423309 4.724804257244941, -74.04646953199995 4.72480452700006, -74.04633142699998 4.724781440000072, -74.04633287499996 4.724772897000037, -74.04633862699995 4.724738969000043, -74.0463398341748 4.7247352704801155, -74.04634162346476 4.7247318158075915, -74.04634394778378 4.724728695893835, -74.0463467459663 4.724725992840872, -74.04634994437683 4.724723777780839, -74.04635345884762 4.7247221090041025, -74.04635719689371 4.724721030425323, -74.04636106014662 4.724720570427819, -74.04636494694302 4.724720741116645, -74.04636875499995 4.72472153800004, -74.04697246099994 4.724821837000036, -74.04698189803561 4.7248227769793685, -74.04699135699997 4.7248220920000685, -74.04699270699996 4.724821859000031, -74.04699355299994 4.724821698000028, -74.04700284737976 4.724818960950189, -74.04701152527987 4.724814651543301, -74.04701932303124 4.724808900716248, -74.04702600370722 4.724801883201978, -74.04703136432238 4.724793812220419, -74.04703524199994 4.724784933000024, -74.04703259099995 4.7248010330000625, -74.04702813199998 4.724828111000022, -74.04702320599995 4.7248580260000494, -74.04701827999997 4.72488794100002, -74.04701366799998 4.724915954000039, -74.04700970699997 4.724940007000043, -74.04700953099288 4.7249317081497635, -74.04700802760482 4.724923544711835, -74.04700523568012 4.724915727611933, -74.04700122735609 4.724908458827098, -74.04699610619922 4.724901926167097, -74.04699000452916 4.724896298421808, -74.04698307999996 4.724891721000063)))",226,"1,003,559","139,818",Calzada,77.12,7.32999992,565.3,2,,USAQUEN,LOS CEDROS,LOS CEDROS,LO,CL 142A,AK 19,KR 19A,10,MISIONAL,Misionalidad,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,05/08/2019 12:00:00 AM,CC,CC,2,,09/24/2019 12:00:00 AM,"2,019",0,"Zona residencial y bodega aledaña, bajo flujo vehicular, vehiculos C2.",0.000000046056630557,0.00164988711649
"MULTIPOLYGON (((-74.11086396999997 4.505797504000043, -74.11086364409081 4.505795129618052, -74.11086293369542 4.5057928406783425, -74.11086185799996 4.505790699000045, -74.11080998399996 4.505694506000054, -74.11076415599996 4.505609523000032, -74.11076232735728 4.505606734954992, -74.11076006628643 4.505604284508541, -74.11075743399994 4.505602238000051, -74.11075574581997 4.505601246795783, -74.11075396899997 4.505600425000068, -74.11074432199996 4.5055834330000275, -74.11074613299996 4.505582397000069, -74.11074828099999 4.505581169000038, -74.11077942699995 4.505563357000028, -74.11091077499998 4.505794689000027, -74.11087993399997 4.505812326000068, -74.11087778699994 4.505813554000042, -74.11087384099994 4.505815810000058, -74.11086396999997 4.505797504000043)))",227,"5,003,615","297,930",Calzada,29.77,4.26000023,126.82,2,,USME,COMUNEROS,CHUNIZA,LO,CL 89 S,KR 8B,KR 8C,10,PETICIONARIO,Misionalidad,REHABILITACIÓN VIAL COMO COMPLEMENTO AL MEJORAMIENTO DE LA INFRAESTRUCTURA DE SERVICIOS PÚBLICOS,07/16/2018 12:00:00 AM,SIRH,RH,2,,05/03/2019 12:00:00 AM,"2,019",0,"la estructura de pavimento presenta desplazamiento lateral de la banca, generando hundimiento en la calzada. Zona escolar y residencial.",0.0000000103266905075,0.000616292938992
"MULTIPOLYGON (((-74.05945848299996 4.6944388510000294, -74.05939878499998 4.694428379000044, -74.05941133499994 4.694356360000029, -74.05997697099997 4.694452074000026, -74.05998296099995 4.694453132000035, -74.05998301199998 4.694453139000075, -74.05998914599996 4.694453230000022, -74.06005366899997 4.694464202000063, -74.06004149299997 4.694536282000058, -74.05990148399997 4.694513507000067, -74.05948072799998 4.694440515000053, -74.05947341399997 4.694438919000049, -74.05947336299994 4.694438914000045, -74.05946595099994 4.694438360000049, -74.05946589599995 4.694438360000049, -74.05945848299996 4.6944388510000294)))",228,"11,011,269","166,652",Calzada,72.3,8.02999973,580.27,2,,SUBA,LA ALHAMBRA,ESTORIL,CM,CL 106,KR 49,KR 49B,9,MISIONAL,Misionalidad,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,12/15/2018 12:00:00 AM,PASF,PABA,2,,09/27/2019 12:00:00 AM,"2,019",75,"Zona residencial, vehículos C2, requiere parcheo y sello de fisuras, CM V7, Proyecto parqueo en vía de la Secretaría de Movilidad.",0.000000047261541615,0.00144955394952
"MULTIPOLYGON (((-74.07545562499996 4.694715454000061, -74.07545386599998 4.694708211000034, -74.07545385199995 4.694708174000027, -74.07545100999994 4.694701327000075, -74.07545098199995 4.694701275000057, -74.07544712699996 4.694694970000057, -74.07544710099995 4.694694936000076, -74.07544231199995 4.694689292000021, -74.07544224999998 4.694689183000037, -74.07523776899997 4.694422146000022, -74.07522506599997 4.694412698000065, -74.07521037799995 4.6944070610000495, -74.07520671399999 4.6944056550000255, -74.07519043399998 4.6944025700000225, -74.07517107299998 4.694401041000049, -74.07515017899993 4.694406553000022, -74.07522274099995 4.694354495000027, -74.07528735899996 4.694308136000075, -74.07528166299994 4.694316736000076, -74.07528163799998 4.694316775000061, -74.07527735899998 4.694326152000031, -74.075277337 4.694326207000074, -74.07527457299994 4.694336153000052, -74.07527456299994 4.69433619800003, -74.07527373799996 4.694341614000052, -74.07527338199998 4.694346467000059, -74.07527338099999 4.694346501000041, -74.07527382199999 4.694356864000043, -74.07527384399998 4.694357029000059, -74.07527404799998 4.694358547000036, -74.07527556599996 4.694371089000072, -74.07527557199995 4.6943711320000725, -74.07527889599999 4.69438330600002, -74.07527891299998 4.69438335600006, -74.07528397599998 4.694394912000064, -74.07528399999995 4.694394961000057, -74.07529069499998 4.694405656000072, -74.07529072199998 4.694405695000057, -74.07529893599997 4.694415327000058, -74.07553645799999 4.694729382000048, -74.07549264199997 4.6947634210000615, -74.07545562499996 4.694715454000061)))",229,"11,011,277","168,374",Calzada,54.12,6.36999989,344.63,2,,SUBA,LA FLORESTA,SANTA ROSA,LO,CL 100,AK 70,KR 70A,10,PETICIONARIO,Misionalidad,REHABILITACIÓN VIAL COMO COMPLEMENTO AL MEJORAMIENTO DE LA INFRAESTRUCTURA DE SERVICIOS PÚBLICOS,06/25/2018 12:00:00 AM,SIRH,RH,2,,04/11/2019 12:00:00 AM,"2,019",0,"Zona residencial y comercial. Tráfico medio, con paso de vehículos pesados ya que comunica con un consecionario vehicular. Se observa sobre carpeta.",0.000000028086200336,0.0012549055864
"MULTIPOLYGON (((-74.07707009699999 4.605450053000028, -74.07629491799997 4.604902174000074, -74.07628863399998 4.604898208000066, -74.07628326742032 4.604895659489654, -74.07627761243151 4.604893838450375, -74.07627176715152 4.604892776478519, -74.07626583299998 4.604892492000033, -74.07625806136538 4.60489331148486, -74.07625054757092 4.604895459216812, -74.07624351686141 4.60489887081225, -74.07623717999998 4.604903444000059, -74.07627304099998 4.604853044000038, -74.07631508899993 4.604793951000034, -74.07631228149269 4.6047996905980675, -74.0763104658434 4.604805816649016, -74.07630969244667 4.604812159120146, -74.07630998276865 4.604818541971837, -74.07631132875125 4.604824788043674, -74.0763136930358 4.604830723971664, -74.07631700999997 4.604836185000067, -74.07632488699994 4.604841678000071, -74.07712085499998 4.605404250000049, -74.07712549799999 4.605407532000072, -74.07713101542721 4.605410001164806, -74.07713687517054 4.605411485141029, -74.07714290278268 4.605411939750067, -74.07714891881875 4.605411351457996, -74.07715474417849 4.6054097377785475, -74.07716020543819 4.605407146751725, -74.07716514001355 4.6054036555136255, -74.07716940099994 4.605399368000065, -74.07712205399997 4.605460245000074, -74.07708777799996 4.60550431300004, -74.07709067531283 4.605499413739082, -74.07709271752874 4.605494100874137, -74.07709384777213 4.6054885223680975, -74.07709403456583 4.605482833581946, -74.07709327270761 4.605477192947954, -74.0770915834152 4.6054717575573605, -74.07708901373526 4.60546667878539, -74.07708563523316 4.605462098075467, -74.07708154199997 4.605458143000021, -74.07707009699999 4.605450053000028)))",17,"3,000,614","144,256",Calzada,115.82,7.51000023,869.42,2,,SANTA FE,LAS NIEVES,LA CAPUCHINA,LO,CL 16,KR 12,KR 13,10,MISIONAL,Misionalidad,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,11/30/2018 12:00:00 AM,BAPASI,PABA,2,,09/12/2019 12:00:00 AM,"2,019",0,Requiere MP. Zona comercial. Tránsito de automóviles.,0.0000000708163188735,0.00242735687133
"MULTIPOLYGON (((-74.05296715099996 4.7234010600000715, -74.05291246399997 4.723382407000031, -74.05293019799996 4.723330951000037, -74.05338020999994 4.723479316000066, -74.05338389799994 4.723480679000033, -74.05339629525189 4.723483746451872, -74.05340903348728 4.723484662134962, -74.05342174201287 4.723483399402162, -74.05343405099995 4.723479995000048, -74.05340933099995 4.7235552290000555, -74.05336047899993 4.7235381960000495, -74.05296715099996 4.7234010600000715)))",18,"11,008,549","167,638",Calzada,58.32,6.53000021,380.59,2,,SUBA,EL PRADO,SAN JOSE DEL PRADO,CM,CL 137A,KR 46A,KR 47,10,PETICIONARIO,Misionalidad,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,09/20/2018 12:00:00 AM,SICC,CC,2,,08/15/2019 12:00:00 AM,"2,019",0,Zona residencial. Tráfico medio con paso de vehículos pesados tipo camión.,0.0000000310068959085,0.0011885380255
"MULTIPOLYGON (((-74.03564468500002 4.713648990000024, -74.035665886 4.713579170999992, -74.03666081699998 4.713865509000016, -74.036863289 4.713923779000027, -74.03684098500003 4.713992906999977, -74.03683942599997 4.713997737, -74.03564468500002 4.713648990000024)))",587,"1,006,846","91,019,457",Calzada,138.17,8.34000015,"1,151.65",2,,USAQUEN,COUNTRY CLUB,COUNTRY CLUB,AR,AC 134,KR 10A,KR 11,4,PETICIONARIO,IMV-PR-003,SITUACIONES IMPREVISTAS Y APOYO INTERINSTITUCIONAL,02/04/2019 12:00:00 AM,PA,PABA,2,,01/23/2019 12:00:00 AM,"2,019",0,,0.000000093794781435,0.00264128503181
"MULTIPOLYGON (((-74.178571868 4.61965778199999, -74.17860156799998 4.619635580000022, -74.178629049 4.619671488999984, -74.17860849300001 4.619685499000013, -74.17845909200003 4.619787329000019, -74.17845705500004 4.619788998999979, -74.17845702300002 4.619789028000014, -74.17845525500002 4.619790978000027, -74.17845522699997 4.619791013999986, -74.178455133 4.619791140000018, -74.17845382399997 4.619793109, -74.17845374199999 4.619793243999993, -74.17845262700001 4.619795615999977, -74.17845260399997 4.619795669999974, -74.17845183399999 4.619798236999998, -74.17845149200002 4.619800435999991, -74.17845148800001 4.619800471000019, -74.17845147899999 4.619800576999978, -74.17845141999999 4.619802667999977, -74.17845142200002 4.619802730999993, -74.17845143300002 4.619802941999979, -74.17845162700002 4.619804914999975, -74.178451634 4.619804981000016, -74.17843329099998 4.619816999000022, -74.17840740100002 4.619777612000007, -74.17844044499998 4.619755742999985, -74.178443786 4.619753532000004, -74.178451199 4.619747990000008, -74.17845134800001 4.619747878999988, -74.17845373900002 4.619746092000014, -74.17845444800002 4.619745561000002, -74.17845877100002 4.619742329000019, -74.178571868 4.61965778199999)))",19,"7,003,413","358,845",Calzada,26.73,4.59000015,122.62,2,,KENNEDY,GRAN BRITALIA,EL CARMELO,LO,KR 81I,DG 54A S,CL 54C S,11,OTRO,IMV-PR-003,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,03/22/2019 12:00:00 AM,PA,PABA,2,,03/20/2019 12:00:00 AM,"2,019",0,,0.0000000099855689625,0.000580766502803
"MULTIPOLYGON (((-74.14227593099997 4.599435994000032, -74.14237687499997 4.599165834000075, -74.14242311999999 4.599042065000049, -74.14245179099998 4.598965329000066, -74.14245532531426 4.598955713948089, -74.14245759682926 4.598945724913028, -74.14245856799994 4.598935527000037, -74.14248145299996 4.598874278000039, -74.14248391999996 4.598867675000065, -74.14253616799994 4.598887095000066, -74.14252989399995 4.598904092000056, -74.14252902899995 4.598906442000043, -74.14250659799995 4.598967438000046, -74.14250195299996 4.598980079000057, -74.14248660999993 4.599023441000043, -74.14244585999995 4.599138270000026, -74.14243973799995 4.599153664000028, -74.14237920899996 4.599310937000041, -74.14237069399996 4.599333606000073, -74.14234901699996 4.599391443000059, -74.14232527399997 4.599454783000056, -74.14227593099997 4.599435994000032)))",20,"8,011,489","148,148",Calzada,66.99,5.96999979,399.68,2,,KENNEDY,CARVAJAL,LAS DELICIAS,CM,KR 68G,CL 43C S,CL 43D S,10,PETICIONARIO,Misionalidad,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,08/28/2018 12:00:00 AM,PASFSI,PABA,2,,04/16/2019 12:00:00 AM,"2,019",230,CM V8 sin tránsito de rutas SITP. Requiere actividades de Mantenimiento Periódico mediante Parcheo y Sello de Fisuras.,0.000000032549899434,0.00131978289178
"MULTIPOLYGON (((-74.04862190399997 4.731955538000022, -74.04862113999997 4.73195529000003, -74.04857706199994 4.731951860000038, -74.04822519999993 4.731924545000027, -74.04822055379917 4.731924924600916, -74.04821601199995 4.731925975000024, -74.04821273399995 4.731925711000031, -74.04821834099994 4.7318525920000525, -74.04822109199995 4.731852805000074, -74.04827606899994 4.731857083000023, -74.04830426399997 4.731859276000023, -74.04830932373781 4.731861671082346, -74.04831468099997 4.731863295000039, -74.04847412099997 4.731875698000067, -74.04853391199998 4.7318803490000505, -74.04869643499995 4.731892991000052, -74.04870144283849 4.731892944115911, -74.0487064032089 4.731892254644864, -74.04871123399994 4.731890934000035, -74.04871811799995 4.731891469000061, -74.04872405199997 4.731891931000065, -74.04871872099994 4.731962860000067, -74.04862190399997 4.731955538000022)))",21,"1,002,971","140,070",Calzada,56.31,7.5999999,427.9,2,,USAQUEN,LOS CEDROS,LAS MARGARITAS,CM,CL 150,KR 22,KR 23,9,PETICIONARIO,Misionalidad,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,07/04/2018 12:00:00 AM,BEPA,PABA,2,,01/09/2019 12:00:00 AM,"2,019",0,El segmento vial de pavimento flexible requiere parcheo,0.000000034852933419,0.00116026994017
