Segmentos PK_Calzada No.,Zonas,CIV,PK_ID,Estrategia,Programa,LOC. No.,Nombre Localidad,UPZ,Barrio,Eje Vial,Tramo Inicial,Tramo Final,Longitud Segmento (ML),"Ancho 
Segmento (ML)","Área
Segmento (m2)",Memorando Priorizaciòn,Km Carril Impacto   Km C,Km Lineal,Km Obra,Tipo Malla Vial,Tipo de Actividad,Tipo de Intervención,Fecha Inicio,Fecha Final,Estado Ejecucion,Mes Reporte,Fusion CIV,Fusion PK_ID,Grupo Contraloria,Ingeniero de Apoyo,Director de Obra / Residente
1,Zona 02,"10,001,145","163,073",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOLIVIA,BOLIVIA,KR 106,CL 80A,CL 81,"10,232",621,"6,354,072","2,01812E+13",21,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Sebastian Herrera,Ing. Luis Marin/Ing.Andrea Torres
2,Zona 02,"10,001,223","163,075",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOLIVIA,BOLIVIA,KR 105,CL 80A,CL 81,"10,304",644,"6,635,776","2,01812E+13",22,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Sebastian Herrera,Ing. Luis Marin/Ing.Andrea Torres
3,Zona 01,"11,011,125","34,010,158",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,11,Suba,LA FLORESTA,POTOSI,AK 72,CL 95,CL 97,"9,532",23,"219,236","2,01812E+13",6,1,0,MVA,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera/Ing.Julian Guio
4,Zona 01,"50,008,833","34,010,156",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,11,Suba,LA FLORESTA,CLUB DE LOS LAGARTOS,AK 72,CL 93,CL 95,911,236,"214,996","2,01812E+13",1,1,0,MVA,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera/Ing.Julian Guio
5,Zona 02,"2,000,829","141,922",Infraestructura y Gestión de Tránsito,IMV-PR-003,2,Chapinero,EL REFUGIO,EL NOGAL,KR 9,CL 82,AC 82,"8,007",842,"6,741,894",Grupo Sigma,22,0,0,CML,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Cesar Pinto,Ing. Wilmer Suarez
6,Zona 03,"9,000,566","381,420",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,9,Fontibon,FONTIBON SAN PABLO,SAN PABLO JERICO,AC 17,KR 124,KR 126,"11,612","1,159","13,458,308",Grupo Sigma,38,0,"12,685,714",MVA,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
7,Zona 03,"9,000,500","381,256",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,9,Fontibon,FONTIBON SAN PABLO,SAN PABLO JERICO,AC 17,KR 127,KR 128,"10,062","1,361","13,694,382",Grupo Sigma,39,0,"17,511,429",MVA,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
8,Zona 02,"10,006,507","159,965",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOYACA REAL,FLORIDA BLANCA,CL 70,KR 90BIS,KR 90B,"6,146",545,"334,957","2,01812E+13",11,0,0,MVL,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Sebastian Herrera,Ing. Luis Marin/Ing.Andrea Torres
9,Zona 02,"10,006,796","159,116",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOYACA REAL,FLORIDA BLANCA,KR 87A,CL 69B,CL 70,"5,021",484,"2,430,164","2,01812E+13",8,0,0,MVL,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 02 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Sebastian Herrera,Ing. Luis Marin/Ing.Andrea Torres
10,Zona 02,"10,001,251","91,024,504",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOLIVIA,BOCHICA II,KR 101,CL 83,DG 86A,"18,851",712,"13,421,912","2,01812E+13",45,0,0,MVL,Parcheo,Mantenimiento,Thu Jan 03 00:00:00 COT 2019,Thu Jan 03 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Sebastian Herrera,Ing. Luis Marin/Ing.Andrea Torres
11,Zona 03,"50,007,087","24,122,921",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,9,Fontibon,GRANJAS DE TECHO,EL TINTAL CENTRAL,AC 17,KR 87,KR 87B,"19,257","1,116","21,490,812","2,01601E+13",61,0,"8,357,143",MVA,Parcheo,Mantenimiento,Thu Jan 03 00:00:00 COT 2019,Thu Jan 03 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
12,Zona 03,"9,000,135","380,360",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,9,Fontibon,ZONA FRANCA,EL CHARCO,AC 17,KR 137,KR 137A,"12,331",752,"9,272,912","2,01701E+13",26,0,"89,228,571",MVA,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Thu Jan 03 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
13,Zona 01,"50,008,833","34,010,157",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,11,Suba,LA FLORESTA,CLUB DE LOS LAGARTOS,AK 72,CL 93,CL 95,"2,344",26,"60,944","2,01812E+13",2,2,0,MVA,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Thu Jan 03 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera/Ing.Julian Guio
14,Zona 01,"11,010,563","34,010,093",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,11,Suba,LA FLORESTA,CLUB DE LOS LAGARTOS,AK 72,CL 117C,CL 119,"8,449",217,"1,833,433","2,01812E+13",5,8,0,MVA,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Thu Jan 03 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera/Ing.Julian Guio
15,Zona 03,"9,004,429","533,851",Situaciones Imprevistas y Apoyo Interinstitucional,Decreto 064 de 2015,9,Fontibon,GRANJAS DE TECHO,VEREDA EL TINTAL,AC 17,AK 86,KR 87,"1,119","1,095","1,225,305","2,01601E+13",35,0,135,MVA,Parcheo,Mantenimiento,Fri Jan 04 00:00:00 COT 2019,Fri Jan 04 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Cesar Pinto,Ing. Wilmer Suarez
16,Zona 03,"9,004,334","91,029,421",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,9,Fontibon,GRANJAS DE TECHO,INTERINDUSTRIAL,AC 17,KR 77,KR 78G,"14,639","1,172","17,156,908",Grupo Sigma,49,0,"16,428,571",MVA,Parcheo,Mantenimiento,Fri Jan 04 00:00:00 COT 2019,Fri Jan 04 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Cesar Pinto,Ing. Wilmer Suarez
17,Zona 03,"9,002,018","385,308",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,9,Fontibon,ZONA FRANCA,ZONA FRANCA,DG 16,S.E,KR 111A,"14,266",99,"1,412,334",Grupo Sigma,4,0,"22,722,857",MVA,Parcheo,Mantenimiento,Fri Jan 04 00:00:00 COT 2019,Fri Jan 04 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Cesar Pinto,Ing. Wilmer Suarez
18,Zona 01,"50,007,219","34,010,080",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,11,Suba,LA FLORESTA,POTOSI,AK 72,CL 117B,CL 117C,"3,497",262,"916,214","2,01812E+13",3,3,0,MVA,Parcheo,Mantenimiento,Thu Jan 03 00:00:00 COT 2019,Fri Jan 04 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera/Ing.Julian Guio
19,Zona 02,"10,007,546","157,796",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,LAS FERIAS,LAS FERIAS,KR 69H,CL 79,CL 79A,"6,006",748,"4,492,488","2,01812E+13",15,0,0,MVL,Parcheo,Mantenimiento,Thu Jan 03 00:00:00 COT 2019,Fri Jan 04 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Sebastian Herrera,Ing. Luis Marin/Ing.Andrea Torres
20,Zona 02,"10,001,611","91,024,503",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOLIVIA,BOCHICA II,KR 101,CL 82,CL 83,"19,486",716,"13,951,976","2,01812E+13",47,0,0,MVL,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Fri Jan 04 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Sebastian Herrera,Ing. Luis Marin/Ing.Andrea Torres
21,Zona 03,"9,003,271","388,269",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,9,Fontibon,FONTIBON,SABANA GRANDE,DG 16,KR 96H,KR 96HBIS,"15,857",91,"1,442,987","2,01701E+13",41,0,"51,405,714",MVA,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Fri Jan 04 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
22,Zona 03,"50,007,077","24,122,912",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,9,Fontibon,ZONA FRANCA,SABANA GRANDE,DG 16,KR 96H,KR 96J,"10,678",798,"8,521,044","2,01701E+13",24,0,"23,165,714",MVA,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Fri Jan 04 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
23,Zona 03,"9,004,651","91,024,223",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,9,Fontibon,FONTIBON SAN PABLO,EL CHARCO,AC 17,S.E,S.E.,"2,467","1,103","2,721,101",Grupo Sigma,8,0,"26,462,857",MVA,Parcheo,Mantenimiento,Thu Jan 03 00:00:00 COT 2019,Fri Jan 04 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
24,Zona 01,"1,006,274","510,409",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,11,Suba,PASEO DE LOS LIBERTADORES,CANAIMA,AK 45,CL 194,CL 195,"1,397",109,"152,273",Grupo Sigma,44,0,"14,114,286",MVA,Parcheo,Mantenimiento,Fri Jan 04 00:00:00 COT 2019,Fri Jan 04 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
25,Zona 01,"1,006,422","511,085",Situaciones Imprevistas y Apoyo Interinstitucional,Acuerdo 257/D,11,Suba,PASEO DE LOS LIBERTADORES,TORCA I,AK 45,CL 242,CL 245,"36,733","1,123","41,251,159","2,01712E+13",118,0,"141,657,143",MVA,Parcheo,Mantenimiento,Fri Jan 04 00:00:00 COT 2019,Fri Jan 04 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
26,Zona 03,"14,001,496","182,870",Infraestructura y Gestión de Tránsito,Misionalidad,14,Martires,SANTA ISABEL,EL VERGEL,CL 1F,KR 23A,KR 24,"7,751",892,"6,913,892","2,01812E+13",23,0,0,CML,Parcheo,Mantenimiento,Tue Jan 08 00:00:00 COT 2019,Tue Jan 08 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
27,Zona 03,"15,000,775","184,806",Infraestructura y Gestión de Tránsito,Misionalidad,15,Antonio Nariño,RESTREPO,RESTREPO OCCIDENTAL,CL 19S,KR 24G,KR 24H,"5,427",935,"5,074,245","2,01812E+13",17,0,0,MVL,Parcheo,Mantenimiento,Tue Jan 08 00:00:00 COT 2019,Tue Jan 08 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
28,Zona 03,"15,000,899","184,585",Infraestructura y Gestión de Tránsito,Misionalidad,15,Antonio Nariño,RESTREPO,RESTREPO OCCIDENTAL,KR 24G,CL 20S,CL 22S,"8,923",609,"5,434,107","2,01812E+13",18,0,0,CML,Parcheo,Mantenimiento,Tue Jan 08 00:00:00 COT 2019,Tue Jan 08 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
29,Zona 04,"19,008,002","455,981",Infraestructura y Gestión de Tránsito,Misionalidad,19,Ciudad Bolivar,LUCERO,MEXICO,KR 16B,CL 64A S,CL 65 S,"7,956",663,"5,274,828","2,01701E+13",18,0,0,MVL,Cambio de Losas,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Tue Jan 08 00:00:00 COT 2019,Terminado,Enero,0,0,Cambio de Losas,Felipe Rodriguez,Ing. Manuel Avila/Ing. Ramiro Robles
30,Zona 02,"10,008,010","24,136,296",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,10,Engativa,LAS FERIAS,PALO BLANCO,AK 72,CL 69 A,CL 69 B,"3,204",209,"669,636","2,01912E+13",2,3,0,MVA,Parcheo,Mantenimiento,Tue Jan 08 00:00:00 COT 2019,Tue Jan 08 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera/Ing.Julian Guio
31,Zona 02,"10,008,764","522,454",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,10,Engativa,SANTA CECILIA,EL REAL,AK 72,CL 64F,CL 64H,"2,678",26,"69,628","2,01812E+13",2,3,0,MVA,Parcheo,Mantenimiento,Tue Jan 08 00:00:00 COT 2019,Tue Jan 08 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera/Ing.Julian Guio
32,Zona 01,"11,013,818","34,011,270",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,11,Suba,MINUTO DE DIOS,SANTA ROSA,AK 72,CL 86A,CL 93,"11,325",209,"2,366,925","2,01812E+13",7,11,0,MVA,Parcheo,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Tue Jan 08 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera/Ing.Julian Guio
33,Zona 02,"10,000,747","163,064",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOLIVIA,BOLIVIA,KR 108,CL 81,CL 81A,"10,245",826,"846,237","2,01812E+13",28,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Wed Jan 09 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Sebastian Herrera,Ing. Luis Marin/Ing.Andrea Torres
34,Zona 02,"10,000,619","91,024,523",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOLIVIA,BOLIVIA,KR 108,CL 81A,CL 82,"10,076",784,"7,899,584","2,01812E+13",26,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Sat Jan 05 00:00:00 COT 2019,Wed Jan 09 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Sebastian Herrera,Ing. Luis Marin/Ing.Andrea Torres
35,Zona 01,"1,002,971","140,070",Infraestructura y Gestión de Tránsito,Misionalidad,1,Usaquen,LOS CEDROS,LAS MARGARITAS,CL 150,KR 22,KR 23,"5,631",76,"427,956","2,01812E+13",14,0,0,CML,Parcheo,Mantenimiento,Wed Jan 09 00:00:00 COT 2019,Wed Jan 09 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Wilmer Suarez
36,Zona 02,"10,000,917","163,089",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOLIVIA,BOLIVIA,CL 81,KR 106A,KR 107,"4,458",779,"3,472,782","2,01812E+13",12,0,0,CML,Parcheo,Mantenimiento,Wed Jan 09 00:00:00 COT 2019,Wed Jan 09 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
37,Zona 03,"16,001,849","186,920",Infraestructura y Gestión de Tránsito,Misionalidad,16,Puente Aranda,CIUDAD MONTES,MONTES,KR 41,CL 2 G,AC3,"4,764",767,"3,653,988","2,01812E+13",12,0,0,CML,Cambio de Carpeta,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Thu Jan 10 00:00:00 COT 2019,Terminado,Enero,0,0,Cambio de Carpeta,Karen Zarate,Ing.Gustavo Velandia/Ing. Leonardo Camacho
38,Zona 02,"2,000,912","142,019",Infraestructura y Gestión de Tránsito,Misionalidad,2,Chapinero,EL REFUGIO,EL NOGAL,KR 8,CL 80,CL 81,"7,307",692,"5,056,444","2,01812E+13",17,0,0,CML,Parcheo/Sello Fisuras,Mantenimiento,Wed Jan 09 00:00:00 COT 2019,Thu Jan 10 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
39,Zona 02,"2,000,867","142,021",Infraestructura y Gestión de Tránsito,Misionalidad,2,Chapinero,EL REFUGIO,EL NOGAL,KR 8,CL 81A,AC 82,"8,284",626,"5,185,784","2,01812E+13",17,0,0,CML,Parcheo/Sello Fisuras,Mantenimiento,Wed Jan 09 00:00:00 COT 2019,Thu Jan 10 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
40,Zona 02,"12,000,080","178,569",Infraestructura y Gestión de Tránsito,Acuerdo 257/D,12,Barrios Unidos,LOS ANDES,LA CASTELLANA,KR 47A,CL 99,AC 100,"5,542",787,"4,361,554","2,01812E+13",15,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Tue Jan 08 00:00:00 COT 2019,Thu Jan 10 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Wilmer Suarez
41,Zona 01,"50,007,492","24,123,388",Situaciones Imprevistas y Apoyo Interinstitucional,Acuerdo 257/D,1,Usaquen,COUNTRY CLUB,LA CAROLINA,AC 134,KR 10,KR 9A,"12,075","1,075","12,980,625","2,01812E+13",37,0,"83,345,714",MVA,Parcheo,Mantenimiento,Thu Jan 10 00:00:00 COT 2019,Thu Jan 10 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Wilmer Suarez
42,Zona 01,"11,010,259","168,758",Infraestructura y Gestión de Tránsito,Misionalidad,11,Suba,NIZA,NIZA NORTE,CL 127A,KR 70H,KR 71,"6,738",785,"528,933","2,01812E+13",18,0,0,MVL,Cambio de Carpeta,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Thu Jan 10 00:00:00 COT 2019,Terminado,Enero,0,0,Cambio de Carpeta,Adriana Sierra,Ing. Rafael Perez/Ing. Cesar Diego Ortiz
43,Zona 01,"11,010,266","168,759",Infraestructura y Gestión de Tránsito,Misionalidad,11,Suba,NIZA,NIZA NORTE,CL 127,KR 71,KR 71A,"7,787",661,"5,147,207","2,01812E+13",17,0,0,MVL,Cambio de Carpeta,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Thu Jan 10 00:00:00 COT 2019,Terminado,Enero,0,0,Cambio de Carpeta,Adriana Sierra,Ing. Rafael Perez/Ing. Cesar Diego Ortiz
44,Zona 01,"50,007,232","34,010,102",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,11,Suba,LA FLORESTA,POTOSI,AK 72,CL 99,CL 116,"14,527",32,"464,864","2,01812E+13",13,15,0,MVA,Parcheo,Mantenimiento,Tue Jan 08 00:00:00 COT 2019,Thu Jan 10 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera/Ing.Julian Guio
45,Zona 01,"50,007,492","24,123,391",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,1,Usaquen,COUNTRY CLUB,LA CAROLINA,AC 134,KR 10,KR 9A,"11,636",836,"9,727,696",Grupo Sigma,28,0,"25,891,429",MVA,Parcheo,Mantenimiento,Thu Jan 10 00:00:00 COT 2019,Fri Jan 11 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Wilmer Suarez
46,Zona 01,"50,007,491","24,123,383",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,1,Usaquen,COUNTRY CLUB,LA CAROLINA,AC 134,KR 9A,KR 10,"1,321","1,024","1,352,704",Grupo Sigma,4,0,"8,571,429",MVA,Parcheo,Mantenimiento,Fri Jan 11 00:00:00 COT 2019,Fri Jan 11 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Wilmer Suarez
47,Zona 01,"50,007,491","24,123,387",Situaciones Imprevistas y Apoyo Interinstitucional,Acuerdo 257/D,1,Usaquen,LOS CEDROS,LISBOA,AC 134,KR 9A,KR 10,"14,438",786,"11,348,268","2,01812E+13",32,0,"4,856",MVA,Parcheo,Mantenimiento,Fri Jan 11 00:00:00 COT 2019,Fri Jan 11 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Wilmer Suarez
48,Zona 01,"50,007,492","24,123,390",Situaciones Imprevistas y Apoyo Interinstitucional,Acuerdo 257/D,1,Usaquen,LOS CEDROS,LISBOA,AC 134,KR 9,KR 9A,"11,322",8,"90,576","2,01812E+13",26,0,"42,785,714",MVA,Parcheo,Mantenimiento,Fri Jan 11 00:00:00 COT 2019,Fri Jan 11 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Wilmer Suarez
49,Zona 01,"1,004,155","509,971",Situaciones Imprevistas y Apoyo Interinstitucional,Acuerdo 257/D,1,Usaquen,LOS CEDROS,LISBOA,AC 134,KR 10,KR 10A,"6,999",793,"5,550,207","2,01812E+13",16,0,"17,714,286",MVA,Parcheo,Mantenimiento,Fri Jan 11 00:00:00 COT 2019,Fri Jan 11 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Wilmer Suarez
50,Zona 02,"10,010,141","522,832",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,LAS FERIAS,SANTA ROSA,CL 87,KR 69 H,AK 70,"12,311",927,"11,412,297","2,01812E+13",38,0,0,CML,Parcheo,Mantenimiento,Thu Jan 10 00:00:00 COT 2019,Fri Jan 11 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
51,Zona 05,"7,007,062","367,876",Infraestructura y Gestión de Tránsito,Misionalidad,7,Bosa,APOGEO,OLARTE,CL 56A S,KR 71D,KR 71F,"2,179",306,"666,774","2,01812E+13",2,0,0,MVL,Parcheo,Mantenimiento,Fri Jan 11 00:00:00 COT 2019,Fri Jan 11 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
52,Zona 05,"7,007,056","367,861",Infraestructura y Gestión de Tránsito,Misionalidad,7,Bosa,APOGEO,OLARTE,KR 71F,CL 55B S,CL 56A S,"4,207",326,"1,371,482","2,01812E+13",5,0,0,MVL,Parcheo,Mantenimiento,Fri Jan 11 00:00:00 COT 2019,Fri Jan 11 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
53,Zona 02,"12,001,256","177,787",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,DOCE DE OCTUBRE,JOSE JOAQUIN VARGAS,KR 66,CL 67,CL 66C,"5,088",693,"3,525,984","2,01812E+13",12,0,0,MVL,Cambio de Carpeta,Mantenimiento,Tue Jan 08 00:00:00 COT 2019,Fri Jan 11 00:00:00 COT 2019,Terminado,Enero,0,0,Cambio de Carpeta,Sebastian Herrera,Ing. Luis Marin/Ing.Andrea Torres
54,Zona 01,"11,012,176","523,115",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,11,Suba,NIZA,NIZA NORTE,AK 72,CL 128A,CL 128B,84,258,"21,672","2,01812E+13",6,8,0,MVA,Parcheo,Mantenimiento,Wed Jan 09 00:00:00 COT 2019,Fri Jan 11 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera/Ing.Julian Guio
55,Zona 01,"50,007,222","34,010,086",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,11,Suba,LA FLORESTA,CLUB DE LOS LAGARTOS,AK 72,CL 116,CL 116A,"4,267",258,"1,100,886","2,01812E+13",3,4,0,MVA,Parcheo,Mantenimiento,Wed Jan 09 00:00:00 COT 2019,Fri Jan 11 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera/Ing.Julian Guio
56,Zona 01,"50,007,220","34,010,082",Mantenimiento Ciclorutas,Acuerdo 257/D- Cicloruta Anden,11,Suba,LA FLORESTA,POTOSI,AK 72,CL 117,CL 117B,"6,246",25,"15,615","2,01812E+13",4,6,0,MVA,Parcheo,Mantenimiento,Fri Jan 04 00:00:00 COT 2019,Fri Jan 11 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Jesica  Ardila,Ing. Orlando Rivera/Ing.Julian Guio
57,Zona 02,"12,001,711","179,653",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,LOS ALCAZARES,LA AURORA,CL 75A,KR 27A,KR 27B,"6,233",712,"4,437,896","2,01812E+13",15,0,0,MVL,Cambio de Carpeta,Mantenimiento,Tue Jan 08 00:00:00 COT 2019,Sat Jan 12 00:00:00 COT 2019,Terminado,Enero,0,0,Cambio de Carpeta,Sebastian Herrera,Ing. Luis Marin/Ing.Andrea Torres
58,Zona 02,"10,000,455","162,969",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOLIVIA,BOCHICA II,KR 103C,DG 86A,CL 87,"17,161",705,"12,098,505","2,01812E+13",4,0,0,CML,Parcheo/Sello Fisuras,Mantenimiento,Thu Jan 10 00:00:00 COT 2019,Mon Jan 14 00:00:00 COT 2019,Terminado,Enero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
